id,text
1933461535659311140,"RT @BabyBlack_twt: แรงมากกก บัตร #DEADLINE_IN_BANGKOK หมดแล้ว !!! ราชมัง 3 รอบยังไม่พอกับความดังของควีนหัวนม 🖤💗

ใครยังสนใจซื้อบัตร สามารถไ…"
1933461533058871454,RT @GuuMdark: เดี๋ยวนะ  thaiticket ทำไมผมก็ไม่ได้ซักคอน กด blackpink มาตั้งแต่วันแรก ก็ไม่ได้เลย วันนี้เอะใจลองกดคอนอื่นดู ที่ว่างเยอะมาก…
1933461532467474722,"RT @JUSTCALLMENINGG: (E! News)
#LISA @wearelloud สมาชิกวง BLACKPINK คือผู้จุดกระแสความคลั่งไคล้เจ้า Labubu บนโลกออนไลน์ 

ความชื่นชอบของลิ…"
1933461530638758065,"@lalalisaly1 Estimating the percentage of Blackpink's music about sex is tricky due to subjective interpretation. Based on their 32 official songs, roughly 15-20%—around 5 songs like ""Ice Cream,"" ""Playing With Fire,"" and ""Boombayah""—have flirtatious or suggestive lyrics. Most of their music"
1933461530588426504,"RT @Kai_commssell: WTS/LFB
#BLACKPINK_WORLDTOUR2025 

VIP Pit 
&amp; LBA PREM 
DA2 WV PRESALE 

✅ Open for installment
✅ Sure buyer only 
✅ Goo…"
1933461524036870229,"RT @livenationth: บัตรหมดแล้วทุกรอบการแสดง!! เตรียมโคฟเป็นจีซู เจนนี่ โรเซ่ และ​ลิซ่า แล้วมาสนุกกับ 3 วันสุดปัง ที่คอนเสิร์ต ""BLACKPINK WOR…"
1933461516826914960,"RT @BPTOURNEWS: 🚨@BLACKPINK has DOUBLE SOLD OUT Philippine Arena !

94K-95K attendance expected 
Additional date expected 
#DEADLINE_IN_BUL…"
1933461515610567015,"RT @BBU_BLACKPINK: the pinks are currently in LA, likely rehearsing for the DEADLINE world tour?🫣 @BLACKPINK"
1933461514205475322,"RT @JUSTCALLMENINGG: (E! News)
#LISA @wearelloud สมาชิกวง BLACKPINK คือผู้จุดกระแสความคลั่งไคล้เจ้า Labubu บนโลกออนไลน์ 

ความชื่นชอบของลิ…"
1933461498937958560,RT @honorslisa: blinks went from “world tour before comeback 😡😡🤬 fck yg” to “see you soon my loves @BLACKPINK” real quick
1933461497264680994,"RT @peony_fay: 🦖 : White Rabbit ก็ ผมสัญญากับเค้าไว้ว่าถ้าผมกดบัตร Blackpink ได้ผมจะสปอย

“ก็ต่อให้ฉันเป็นเสือก็คง ยอมเป็นเหยื่อให้เธอทำตาม…"
1933461494991368313,RT @GuuMdark: เดี๋ยวนะ  thaiticket ทำไมผมก็ไม่ได้ซักคอน กด blackpink มาตั้งแต่วันแรก ก็ไม่ได้เลย วันนี้เอะใจลองกดคอนอื่นดู ที่ว่างเยอะมาก…
1933461492541894885,"RT @JenneiData: #JENNIE joins BLACKPINK, TWICE and NJZ as the only Female K-pop Act to have spent 300 days on the Spotify Global Artist Cha…"
1933461492537479679,"WTT
WTS
🏷️ BLACKPINK JISOO BROADCAST ME SET $550 dls 
🏷️BLACKPINK JISOO SHUT DOWN BROADCAST WHIT BORN PINK SIGNED $300 dls 

The price includes shipping in Mexico, USA and Canada https://t.co/asxkB5UfJF"
1933461484908261895,RT @bponrepeat_1: Blackpink is the first active group in history to announce official merch and world tour before announcing a comeback. ht…
1933461481347309941,"RT @BabyBlack_twt: แรงมากกก บัตร #DEADLINE_IN_BANGKOK หมดแล้ว !!! ราชมัง 3 รอบยังไม่พอกับความดังของควีนหัวนม 🖤💗

ใครยังสนใจซื้อบัตร สามารถไ…"
1933461479258534134,@kchartsmaster horrible and cheap almost as bad as Lisa from blackpink
1933461473738830232,RT @BP4ACES: 6 locked articles on the YG website and Imablinkbtch also gave us hints about the upcoming new song today . BLINKS BLACKPINK'S…
1933461473508143546,"wts lfb ph
BLACKPINK WORLD TOUR &lt;DEADLINE&gt; IN BULACAN

Rfs:- Secured Extra tickets 
✅VIP, FLOOR STANDING 
✅UBB
✅LBB
✅UBC
Pm  po for details please if interested to buy ✔️

#BLACKPINK_WORLDTOUR2025 #blackpink #BLACKPINK_BULACAN #BLACKPINKxPhilippineArena
#DEADLINE_IN_BULACA https://t.co/aynScZ7rn5"
1933461471394214049,"[LFS] BLACKPINK BANGKOK TICKETS
Looking for 3 tickets ‼️
🎟️ Preferred Section: E1
💸 Budget: 5,800 or 4,800 baht each
DM if you're selling! 🙏💗
#BLACKPINK #BLACKPINKBANGKOK #LFSBLACKPINK #BLACKPINKinBANGKOK"
1933461469682905380,"RT @WBP1327__: แสดงว่ายังมีกั๊กเอาไว้อีกหรอ คืออาศัยจังหวะชุลมุนเวอร์ แต่ถ้ามฃใครยังไม่ได้ก็สู้อีกสักตั้งดูงีบ สู้ไปด่าไป 

#DEADLINE_IN_BA…"
1933461468433039412,"blackpink girlies are in LA, bini girls are in Vegas. so near yet so far 😣😣😣"
1933461464347488401,RT @BP4ACES: 6 locked articles on the YG website and Imablinkbtch also gave us hints about the upcoming new song today . BLINKS BLACKPINK'S…
1933461464016167041,"RT @TheePopCore: According to E! News, LISA from BLACKPINK has sparked Labubu mania on social media after posting about her love for the ad…"
1933461458039525693,"@TeamYouTube @TheePopCore @TeamYouTube when it comes to blackpink your views suddenly don’t get deleted or frozen. Their Thailand farms streams their mvs with invalid views. but when it comes to BTS, suddenly @YouTube @TeamYouTube  starts deleting the views?? Likes to view ratio speaks your fraud activity"
1933461456122753120,"RT @naerpnov: บน🙏🏻 
ถ้ากดบัตรยืน Blackpink ได้ แจก 100 1 คนฮะ  🙏🏻🙏🏻🙏🏻

 #DEADLINE_IN_BANGKOK"
1933461454344380525,"RT @BabyBlack_twt: แรงมากกก บัตร #DEADLINE_IN_BANGKOK หมดแล้ว !!! ราชมัง 3 รอบยังไม่พอกับความดังของควีนหัวนม 🖤💗

ใครยังสนใจซื้อบัตร สามารถไ…"
1933461453635531059,"RT @WBP1327__: แสดงว่ายังมีกั๊กเอาไว้อีกหรอ คืออาศัยจังหวะชุลมุนเวอร์ แต่ถ้ามฃใครยังไม่ได้ก็สู้อีกสักตั้งดูงีบ สู้ไปด่าไป 

#DEADLINE_IN_BA…"
1933461453098660321,"RT @WBP1327__: แสดงว่ายังมีกั๊กเอาไว้อีกหรอ คืออาศัยจังหวะชุลมุนเวอร์ แต่ถ้ามฃใครยังไม่ได้ก็สู้อีกสักตั้งดูงีบ สู้ไปด่าไป 

#DEADLINE_IN_BA…"
1933461451659698632,RT @SELENAPlNK: ROSÉ está o estuvo recientemente en Los Ángeles tomando clases particulares de canto y baile. Probablemente se está prepara…
1933461447729909762,RT @Jijilalak: BLACKPINK ตอนแยกทำงานกันของสี่คน ไม่มีเม็ดเลย อีดอกปล่อยชนตู้มต้าม แฟนคลับไฮป์กัน ตีกันหีฉีก พอรวมตัวเงียบเป็นป่าช้า เธอเหงา…
1933461445284667616,"RT @WBP1327__: แสดงว่ายังมีกั๊กเอาไว้อีกหรอ คืออาศัยจังหวะชุลมุนเวอร์ แต่ถ้ามฃใครยังไม่ได้ก็สู้อีกสักตั้งดูงีบ สู้ไปด่าไป 

#DEADLINE_IN_BA…"
1933461439618167128,"RT @peony_fay: 🦖 : White Rabbit ก็ ผมสัญญากับเค้าไว้ว่าถ้าผมกดบัตร Blackpink ได้ผมจะสปอย

“ก็ต่อให้ฉันเป็นเสือก็คง ยอมเป็นเหยื่อให้เธอทำตาม…"
1933461439286563166,RT @TheePopCore: BLACKPINK has officially SOLD OUT both shows at Kai Tak Stadium in Hong Kong in just 30 minutes! showcasing their explosiv…
1933461439249068300,"RT @BabyBlack_twt: แรงมากกก บัตร #DEADLINE_IN_BANGKOK หมดแล้ว !!! ราชมัง 3 รอบยังไม่พอกับความดังของควีนหัวนม 🖤💗

ใครยังสนใจซื้อบัตร สามารถไ…"
1933461436380164372,"RT @WBP1327__: แสดงว่ายังมีกั๊กเอาไว้อีกหรอ คืออาศัยจังหวะชุลมุนเวอร์ แต่ถ้ามฃใครยังไม่ได้ก็สู้อีกสักตั้งดูงีบ สู้ไปด่าไป 

#DEADLINE_IN_BA…"
1933461423600119834,RT @TheePopCore: BLACKPINK has officially SOLD OUT both shows at Kai Tak Stadium in Hong Kong in just 30 minutes! showcasing their explosiv…
1933461421171618257,"BLACKPINK 2025 WORLD TOUR IN GOYANG
블랙핑크 콘서트 티켓 양도 블링크석 블핑콘 티켓양도

[첫콘] – Blink석 1구역 2연석
티포 29만원

[막콘] – Blink석 2구역 2연석
티포 29만원

☆ 아옮포함 실패시 100%환불/단석O ☆
DM 문의주세요~.2860"
1933461415756771557,"RT @livenationth: บัตรหมดแล้วทุกรอบการแสดง!! เตรียมโคฟเป็นจีซู เจนนี่ โรเซ่ และ​ลิซ่า แล้วมาสนุกกับ 3 วันสุดปัง ที่คอนเสิร์ต ""BLACKPINK WOR…"
1933461413101777241,RT @GuuMdark: เดี๋ยวนะ  thaiticket ทำไมผมก็ไม่ได้ซักคอน กด blackpink มาตั้งแต่วันแรก ก็ไม่ได้เลย วันนี้เอะใจลองกดคอนอื่นดู ที่ว่างเยอะมาก…
1933461408391573965,"RT @TheePopCore: According to E! News, LISA from BLACKPINK has sparked Labubu mania on social media after posting about her love for the ad…"
